,ID,Company,Job_Title,YOE,Location,Est_Salary,Job_Description,Link,Min_level,Max_level,VN,Overseas,Remote,Bachelor,Master,PhD
0,3617,FIDT,( Data ) Research Intern,0.0,HCM,65.0,Minimum 10 hours/week; Students complete at least the first 2 years of university majoring in economics and finance.,https://www.linkedin.com/jobs/view/3631700502,0,0,1,0,0,0,0,0
1,1084,Kyanon Digital,Machine Learning Engineer Intern,0.0,HCM,85.0,"Familiar with Object-Oriented Programming, Modular Programming. Familiar with conventional Machine Learning and Deep Learning packages: Pandas, Numpy, Scikit-learn, Pytorch or Tensorflow",https://glints.com/vn/opportunities/jobs/machine-learning-engineer-intern/7a16f88b-faae-4c6f-9474-2055d4bacf8e,0,0,1,0,0,0,0,0
2,2526,Paditech,Blockchain Intern,0.0,HN,85.0,"3rd, 4th, 5th year students or have graduated within 06 months majoring in IT or equivalent from University/College. Can join part time (20 hours/week).",https://www.topcv.vn/viec-lam/thuc-tap-sinh-blockchain/1003463.html,0,0,1,0,0,0,0,0
3,2858,Maico Group,BI Intern,0.0,HCM,85.0,The program will not be suitable for you who are studying too many subjects in school and working another job,https://www.careerlink.vn/tim-viec-lam/thuc-tap-sinh-bi/2591533,0,0,1,0,0,0,0,0
4,3423,DataGenius,Data Engineer | Data Analyst | AI Engineer,0.0,HCM,105.0,"DataGenius company is recruiting Data Engineer, Data Analyst and AI Engineer interns with the opportunity to work officially after 3 months and the opportunity to work in France.",https://www.facebook.com/groups/datanalyticsvn/posts/3199059150387379,0,0,1,0,0,0,0,0
5,3457,AHT Tech,Data Analyst Intern,0.0,HN,125.0,"Strong skills in data requirement analysis, analytical thinking, and fast learning; Experience in building dashboards and working with Tableau BI or Power BI is a plus",https://www.topcv.vn/viec-lam/thuc-tap-sinh-data-analyst/1040149.html,0,0,1,0,0,0,0,0
6,6315,Bosch Global,Business Intelligence Intern,0.0,HCM,125.0,Use PowerBI and other visualization tool (training will be provided) to visualize data for communicating between stakeholders,https://www.facebook.com/groups/datanalyticsvn/posts/3251809351779025/,0,0,1,0,0,0,0,0
7,2879,Seal Commerce,Quality Assurance Intern ( Operations Department ),0.0,HN,125.0,Flexible schedule for students; Excellent analytical & critical thinking and problem-solving skills.,https://sealcommerce.asia/jobs/quality-assurance-intern-operations-department,0,0,1,0,0,0,0,0
8,3880,GenKin,Data Analyst Intern,0.0,HCM,125.0,Using Microsoft Excel at the advanced level like writing Macros and using VBA lookups,https://glints.com/vn/opportunities/jobs/data-analyst-intern/12afb320-a158-465f-961e-4824bf464607,0,0,1,0,0,0,0,0
9,3527,Noventiq,Cloud Developer Intern,0.0,HN,125.0,"Entry level, 3rd/4th-year students or fresher to 6 months experience",https://jobs.jobvite.com/noventiq/job/oxWAnfwa,0,0,1,0,0,0,0,0
